keys,en
battle.turn_start,"Turn {number}"
battle.move_used,"{creature} used {move}!"
battle.move_failed.missed,"It missed!"
battle.move_failed.immune,"It had no effect."
battle.move_failed.no_target,"There was no target."
battle.effectiveness.super,"It's super effective!"
battle.effectiveness.resisted,"It's not very effective..."
battle.faint,"{creature} fainted!"
battle.switch_in,"{creature} entered the battle."
battle.switch_out,"{creature} withdrew."
battle.heal,"{creature} recovered health."
battle.stat.rose,"{creature}'s stat rose!"
battle.stat.rose_sharply,"{creature}'s stat rose sharply!"
battle.stat.fell,"{creature}'s stat fell!"
battle.stat.fell_harshly,"{creature}'s stat fell harshly!"
battle.stat.no_higher,"{creature}'s stat won't go higher!"
battle.stat.no_lower,"{creature}'s stat won't go lower!"
battle.capture.shake,"..."
battle.capture.caught,"{creature} was caught!"
battle.capture.broke_free,"{creature} broke free!"
effect.burn.began,"{creature} was burned!"
effect.burn.ended,"{creature}'s burn healed."
effect.reflect.began,"A wall of light appeared."
effect.reflect.ended,"The wall of light faded."
species.placeholder_base,"placeholder_base"
species.placeholder_evolved,"placeholder_evolved"
species.placeholder_genderless,"placeholder_genderless"
